variant,n_folds,acc_dec_mean,acc_dec_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,acc_bub_mean,acc_bub_std
emb256_g8_e16_mean,3,0.59728,0.028753803226703737,0.6020466666666667,0.02705291358307516,0.9965,0.003527775503061366,0.7497533333333333,0.021554714874786305,0.5783533333333334,0.02995034779987262
emb256_g8_e256_mean,3,0.6199466666666666,0.03594534369474488,0.6241133333333333,0.03586441318819161,0.9966466666666667,0.005808143708047611,0.76698,0.027504537807423707,0.60328,0.03692732863341181
emb256_g8_e32_mean,3,0.59518,0.026500988660802825,0.5992666666666667,0.026647749123206145,0.99592,0.007066767294881036,0.7475533333333333,0.021015559315262958,0.5754066666666666,0.037856282613766126
emb256_g8_e64_mean,3,0.6127266666666666,0.024856116618115022,0.61752,0.026865688154223834,0.9974333333333333,0.0036777348100880407,0.7623800000000001,0.02054221993845847,0.5898866666666667,0.029408558844889576
emb256_g8_e8_mean,3,0.5457066666666667,0.03947146986537661,0.5488466666666667,0.03901738245107343,0.9939733333333334,0.008844214681549346,0.7035,0.03660607053481708,0.5305466666666666,0.032094612216590726
emb32_g128_e128_mean,3,0.6011066666666667,0.03165909242750543,0.6046733333333334,0.02975181563087089,0.9953,0.008140638795573724,0.7516066666666666,0.02562336693983315,0.58486,0.031563542260018854
emb32_g128_e16_mean,3,0.6061933333333334,0.03385369896087187,0.6109666666666667,0.03129986794434334,0.9963533333333333,0.004633112704579208,0.75662,0.0249593028748802,0.59184,0.03829285050763396
emb32_g128_e256_mean,3,0.6161266666666667,0.021572596814786398,0.61962,0.020703893353666576,0.9955866666666666,0.007644117564070662,0.76334,0.017087621250484217,0.59866,0.021596082978169895
emb32_g128_e32_mean,3,0.6001466666666666,0.04009535800230911,0.6040866666666667,0.039364107170534575,0.9952,0.008313843876330593,0.75122,0.03226267812814054,0.5836466666666666,0.047887874596116015
emb32_g128_e64_mean,3,0.59244,0.02021060117858944,0.59602,0.019193290494336834,0.9953133333333334,0.008117544784806117,0.74506,0.01674814616606866,0.5771133333333334,0.03238345462320742
emb32_g128_e8_mean,3,0.5726,0.0684005877167733,0.5764933333333333,0.06652701205775996,0.9952333333333333,0.006593461407586519,0.7284,0.05551717932316086,0.5607266666666667,0.07093691375675526
emb32_g16_e128_mean,3,0.61698,0.03223905085451492,0.62222,0.03191699860575862,0.9982533333333333,0.003025315410553652,0.76608,0.024260024732056608,0.5975466666666667,0.039770674288140156
emb32_g16_e16_mean,3,0.60566,0.034151093686732734,0.6099733333333334,0.03485865363626849,0.99492,0.008798818102449915,0.7555266666666667,0.026938391439232885,0.5863733333333334,0.03298169391243164
emb32_g16_e256_mean,3,0.60912,0.03948219345477146,0.6139666666666667,0.03752936095023912,0.9982333333333333,0.003059956426705,0.7598266666666667,0.029118305811522274,0.5871066666666667,0.049700065727656034
emb32_g16_e32_mean,3,0.6079933333333334,0.032235299491913075,0.6121266666666667,0.03321159636833698,0.9949466666666666,0.007020693223132095,0.7572266666666667,0.02545330103018732,0.5914133333333333,0.03454968210176953
