variant,coverage,runs,params,acc_dec,precision_dec,recall_dec,f1_dec,acc_bub,decisions,bubbles
emb32_g8_e32_mean,20,5,1689,0.6156142365097589,0.6191037560132254,0.9973652251220788,0.7632224352614139,0.598234552332913,4355,3965
emb32_g8_e64_mean,20,5,2425,0.6082663605051665,0.6122211592890099,0.9969748380032831,0.7579857040863152,0.5911727616645649,4355,3965
emb32_g8_e128_mean,20,5,3897,0.6105625717566016,0.6146521114990094,0.9980230102788551,0.7602555084259964,0.5952080706179067,4355,3965
emb32_g8_e256_mean,20,5,6841,0.6227324913892078,0.6266193008989576,0.99958499668208,0.7698512499752203,0.6090794451450189,4355,3965
emb32_g16_e8_mean,20,5,1737,0.598622273249139,0.6024682807289043,0.99640924054577,0.7504029890184553,0.5841109709962169,4355,3965
emb32_g16_e16_mean,20,5,2049,0.6039035591274398,0.6078532243504707,0.9965542349923416,0.7542695733094722,0.5858764186633039,4355,3965
emb32_g16_e32_mean,20,5,2673,0.6052812858783008,0.608906441389688,0.9962488922146517,0.7551728705158106,0.5894073139974779,4355,3965
emb32_g16_e64_mean,20,5,3921,0.6160734787600459,0.6199980166476172,0.997364016794218,0.7640709674775341,0.6005044136191677,4355,3965
emb32_g16_e128_mean,20,5,6417,0.617451205510907,0.6218640828450049,0.9988183797206864,0.7659826513576011,0.6002522068095839,4355,3965
emb32_g16_e256_mean,20,5,11409,0.6126291618828932,0.6166578637769099,0.9988025100063592,0.7620723899577243,0.5944514501891551,4355,3965
emb32_g32_e8_mean,20,5,3321,0.600459242250287,0.6035536848181082,0.996117802547533,0.7513722031631032,0.5823455233291299,4355,3965
emb32_g32_e16_mean,20,5,3889,0.6052812858783008,0.6092622502446773,0.9976279246889606,0.7559490508110737,0.5939470365699874,4355,3965
emb32_g32_e32_mean,20,5,5025,0.6140068886337543,0.617769923862257,0.9968504238186073,0.76251800034504,0.6005044136191677,4355,3965
emb32_g32_e64_mean,20,5,7297,0.6192881745120551,0.6225428739760903,0.9966766547629875,0.7659553319458579,0.6047919293820935,4355,3965
emb32_g32_e128_mean,20,5,11841,0.62548794489093,0.6292608717818167,0.9969730881657246,0.7710849425488681,0.6110970996216898,4355,3965
emb32_g32_e256_mean,20,5,20929,0.618828932261768,0.6222759621545284,0.9976527530565551,0.7660848257761325,0.6020176544766709,4355,3965
emb32_g64_e8_mean,20,5,8025,0.6013777267508611,0.605252345370778,0.9967457324962617,0.752475691979609,0.5896595208070617,4355,3965
emb32_g64_e16_mean,20,5,9105,0.608036739380023,0.6116921813255577,0.9971381422679719,0.7576894621694931,0.5939470365699874,4355,3965
emb32_g64_e32_mean,20,5,11265,0.6039035591274398,0.6067561410558633,0.9956988303973846,0.7535590412324631,0.5914249684741488,4355,3965
emb32_g64_e64_mean,20,5,15585,0.6096440872560276,0.6121156001260868,0.9964220707881752,0.7579310761215974,0.5939470365699874,4355,3965
emb32_g64_e128_mean,20,5,24225,0.6202066590126292,0.6239469134315422,0.9981098494868165,0.7675301238791298,0.6050441361916772,4355,3965
emb32_g64_e256_mean,20,5,41505,0.6158438576349025,0.6185074678243175,0.9950522087458014,0.7624781339155032,0.5994955863808323,4355,3965
emb32_g128_e8_mean,20,5,23577,0.5823191733639494,0.5856633268340861,0.9964581035747799,0.7363557645949779,0.5717528373266079,4355,3965
emb32_g128_e16_mean,20,5,25681,0.608955223880597,0.6128925857344809,0.9972772786461904,0.7585054217275584,0.5959646910466583,4355,3965
emb32_g128_e32_mean,20,5,29889,0.6043628013777268,0.6078263757242409,0.9967400669668376,0.7546178265554201,0.5899117276166457,4355,3965
emb32_g128_e64_mean,20,5,38305,0.5938002296211251,0.5969608551284534,0.9968245628742131,0.7463137791252817,0.5805800756620428,4355,3965
emb32_g128_e128_mean,20,5,55137,0.6055109070034443,0.6085615589229513,0.9968061486391001,0.7552015480327214,0.5904161412358133,4355,3965
emb32_g128_e256_mean,20,5,88801,0.61699196326062,0.6199428028316853,0.9969984864872284,0.7640965260741225,0.6002522068095839,4355,3965
emb32_g256_e8_mean,20,5,79257,0.5993111366245695,0.6032360444275059,0.9971529747557604,0.7511135284352928,0.5863808322824716,4355,3965
emb32_g256_e16_mean,20,5,83409,0.6009184845005741,0.6042134532278218,0.9958549920406877,0.7514192176459901,0.5896595208070617,4355,3965
emb32_g256_e32_mean,20,5,91713,0.6096440872560276,0.6133459714382137,0.9968460386589783,0.7588894347407311,0.5972257250945776,4355,3965
emb32_g256_e64_mean,20,5,108321,0.6091848450057405,0.6122692643595335,0.9963438063733366,0.7576901251016579,0.5936948297604036,4355,3965
emb32_g256_e128_mean,20,5,141537,0.5983926521239954,0.6022893571536199,0.9975048461968729,0.7506170236796842,0.5896595208070617,4355,3965
emb32_g256_e256_mean,20,5,207969,0.6103329506314581,0.6136173358894125,0.9975577164733935,0.7596245902652108,0.5989911727616646,4355,3965
emb64_g8_e8_mean,20,5,2001,0.5843857634902411,0.5878119331524208,0.9958743535706689,0.7378940891935238,0.5684741488020176,4355,3965
emb64_g8_e16_mean,20,5,2185,0.5995407577497129,0.60313285046983,0.9968855234291832,0.7507045649362535,0.5823455233291299,4355,3965
emb64_g8_e32_mean,20,5,2553,0.6103329506314581,0.613827048453181,0.9965273153002211,0.7589350564509241,0.592938209331652,4355,3965
emb64_g8_e64_mean,20,5,3289,0.617451205510907,0.6199397362970187,0.9961420091998037,0.7636568383894807,0.5997477931904162,4355,3965
emb64_g8_e128_mean,20,5,4761,0.6234213547646383,0.6269682617073009,0.9977316774877097,0.7694653369142193,0.603530895334174,4355,3965
emb64_g8_e256_mean,20,5,7705,0.6149253731343284,0.6169103859506441,0.9969727152055229,0.7617340117103637,0.5977301387137453,4355,3965
emb64_g16_e8_mean,20,5,2857,0.6006888633754306,0.6041251742743963,0.9956773916624793,0.7509770617667625,0.5828499369482976,4355,3965
emb64_g16_e16_mean,20,5,3169,0.6045924225028703,0.6069758020902483,0.9950690281184392,0.7535093553403903,0.5871374527112232,4355,3965
emb64_g16_e32_mean,20,5,3793,0.6045924225028703,0.6080014809681158,0.9968222857333938,0.7548385575310865,0.5848675914249685,4355,3965
emb64_g16_e64_mean,20,5,5041,0.6013777267508611,0.604792132418233,0.997000882463501,0.7522381053241198,0.5858764186633039,4355,3965
emb64_g16_e128_mean,20,5,7537,0.6133180252583238,0.6165395951988653,0.997650078758794,0.7617248837840528,0.594703656998739,4355,3965
emb64_g16_e256_mean,20,5,12529,0.6213547646383467,0.6239529956330594,0.9969652159428082,0.7670215993560546,0.6017654476670871,4355,3965
emb64_g32_e8_mean,20,5,4953,0.5983926521239954,0.6018166369238297,0.9961876298792711,0.7499651676895815,0.5861286254728878,4355,3965
emb64_g32_e16_mean,20,5,5521,0.6016073478760046,0.6043652103302358,0.9964709669577696,0.7517559345370866,0.5846153846153846,4355,3965
emb64_g32_e32_mean,20,5,6657,0.5983926521239954,0.601890650697083,0.9976904040119637,0.7502617112860642,0.5848675914249685,4355,3965
emb64_g32_e64_mean,20,5,8929,0.6195177956371987,0.6229296418735849,0.9967260346822117,0.7659771965668652,0.6030264817150063,4355,3965
emb64_g32_e128_mean,20,5,13473,0.6208955223880597,0.6240095307312691,0.9969329755511968,0.7672009064028671,0.6030264817150063,4355,3965
emb64_g32_e256_mean,20,5,22561,0.6197474167623421,0.6230344749824479,0.9972650304244689,0.7665285281769266,0.6022698612862547,4355,3965
emb64_g64_e8_mean,20,5,10681,0.600459242250287,0.6038998636263166,0.9972292505899389,0.7514649542562922,0.5861286254728878,4355,3965
emb64_g64_e16_mean,20,5,11761,0.5960964408725603,0.5990392560991935,0.9961044349897317,0.7478001116455655,0.5790668348045397,4355,3965
emb64_g64_e32_mean,20,5,13921,0.5995407577497129,0.6035532517327719,0.9967528648331007,0.7513467880471348,0.587641866330391,4355,3965
emb64_g64_e64_mean,20,5,18241,0.5997703788748565,0.6026613228301814,0.9965303716840416,0.7508654746802064,0.5881462799495586,4355,3965
emb64_g64_e128_mean,20,5,26881,0.609414466130884,0.6128400601504173,0.9972730911027538,0.7589578760519845,0.5936948297604036,4355,3965
emb64_g64_e256_mean,20,5,44161,0.6197474167623421,0.6228082795768445,0.9961344784481314,0.7659667711271161,0.6050441361916772,4355,3965
emb64_g128_e8_mean,20,5,28281,0.6029850746268657,0.6066185060680377,0.9964837510248257,0.7534520920103881,0.5914249684741488,4355,3965
emb64_g128_e16_mean,20,5,30385,0.6027554535017221,0.6061527900897911,0.9963313520651889,0.753481079134198,0.5891551071878941,4355,3965
emb64_g128_e32_mean,20,5,34593,0.5974741676234213,0.6014324342612549,0.9971572547166776,0.7499217774144677,0.5833543505674653,4355,3965
emb64_g128_e64_mean,20,5,43009,0.5988518943742824,0.6016386458973668,0.9956392430084042,0.7497792673719726,0.5901639344262295,4355,3965
emb64_g128_e128_mean,20,5,59841,0.5993111366245695,0.6022859383631833,0.9967641039723621,0.7506145421461907,0.5886506935687263,4355,3965
emb64_g128_e256_mean,20,5,93505,0.6107921928817451,0.6140633630591227,0.9965323013705866,0.75955769077057,0.5936948297604036,4355,3965
emb64_g256_e8_mean,20,5,88057,0.5887485648679679,0.591354168907391,0.9958704880474332,0.7414914905741959,0.5755359394703657,4355,3965
emb64_g256_e16_mean,20,5,92209,0.6002296211251436,0.6034730060517547,0.9961894270927663,0.7509837403213949,0.5868852459016394,4355,3965
emb64_g256_e32_mean,20,5,100513,0.5988518943742824,0.6019878983448214,0.9962111225423025,0.7499992556427018,0.5861286254728878,4355,3965
emb64_g256_e64_mean,20,5,117121,0.6114810562571756,0.6147810976071564,0.9963988030744795,0.7597155995816851,0.6005044136191677,4355,3965
emb64_g256_e128_mean,20,5,150337,0.5993111366245695,0.6023343052024359,0.9959443772238302,0.7502136105763997,0.5853720050441362,4355,3965
emb64_g256_e256_mean,20,5,216769,0.6006888633754306,0.6031785453504752,0.9960732149585331,0.7512548847191206,0.5846153846153846,4355,3965
emb128_g8_e8_mean,20,5,3729,0.5938002296211251,0.598220990743293,0.9972709531236513,0.7475214390399632,0.5805800756620428,4355,3965
emb128_g8_e16_mean,20,5,3913,0.5795637198622273,0.5824506430124079,0.9955137419119453,0.7342004518653952,0.5651954602774275,4355,3965
