variant,n_runs_total,acc_dec_mean,acc_dec_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,acc_bub_mean,acc_bub_std
emb256_g256_e16_mean,15,0.5861333333333334,0.03389571541964447,0.5903,0.032209515009432504,0.9963533333333333,0.005712375871319931,0.7409266666666666,0.02648051754637379,0.57404,0.03482156146494787
emb256_g256_e256_mean,15,0.60266,0.042711487247076074,0.6065,0.0428113135914862,0.9954733333333333,0.008196119871767436,0.7530133333333333,0.034368005608760736,0.5897066666666667,0.04794640559545427
emb256_g256_e32_mean,15,0.58826,0.03838511244145126,0.5913,0.03830341275358409,0.99422,0.00817410545564467,0.7409533333333334,0.031886828150880876,0.5746333333333333,0.03983793358572896
emb256_g256_e64_mean,15,0.6011066666666667,0.036989003513914515,0.6058933333333333,0.0375821854961452,0.9968066666666666,0.004155627280596524,0.7530133333333333,0.029350976295922572,0.58676,0.03948558145522418
emb256_g256_e8_mean,15,0.56406,0.05146227189477189,0.5669933333333333,0.05288508386339285,0.99322,0.010869564322981327,0.7207533333333334,0.045773976803211595,0.54878,0.05154762291872855
emb256_g32_e128_mean,15,0.62066,0.027142633833667877,0.62546,0.028524070036174205,0.9972866666666667,0.003974538008492603,0.7684,0.02132336076432875,0.60066,0.027189567326983542
emb256_g32_e16_mean,15,0.5954533333333333,0.03056683232026566,0.5985,0.030765541949209534,0.9940666666666667,0.00773218382261226,0.7467666666666667,0.025107872034388693,0.5766666666666667,0.03334378645622143
emb256_g32_e256_mean,15,0.6071733333333333,0.03905773138512246,0.6118,0.03826150620588345,0.9966266666666667,0.00698656533914163,0.75752,0.030099008051998766,0.5854666666666667,0.044344425751587924
emb256_g32_e32_mean,15,0.58676,0.02525175524309434,0.59034,0.025649193805208453,0.99532,0.00733506256668222,0.7408133333333333,0.02060055015446595,0.5682866666666667,0.02609903847891353
emb256_g32_e64_mean,15,0.6022266666666667,0.030528685963641902,0.6060066666666667,0.03112354337765789,0.9953,0.008074474772834631,0.75294,0.025194466512652006,0.5825,0.04015261955517792
emb256_g32_e8_mean,15,0.6009133333333333,0.03244586406983322,0.60454,0.032954509771588376,0.9949266666666666,0.0077224595144539995,0.7515733333333333,0.025812053293724914,0.5818466666666667,0.034006509180841644
emb256_g64_e128_mean,15,0.6047933333333333,0.029002129642657696,0.6079533333333333,0.02977724122947079,0.9937533333333334,0.00988807844012654,0.7540066666666667,0.023306727007658616,0.5881,0.032726179996187404
emb256_g64_e16_mean,15,0.5966266666666666,0.035175589479610636,0.60162,0.035796791556147685,0.9966333333333334,0.005231452497929726,0.7497,0.02748441116602022,0.5829266666666667,0.03343997750056204
emb256_g64_e256_mean,15,0.6004666666666667,0.026081484036070683,0.6032466666666667,0.026505278899189293,0.9942533333333333,0.008992287700871114,0.75062,0.021075754519623468,0.5833066666666666,0.026932971473288114
emb256_g64_e32_mean,15,0.59852,0.028073149347476383,0.6024466666666667,0.02911366558524575,0.99488,0.007818403198315404,0.7500666666666667,0.023011446427086378,0.5828466666666666,0.02771265483664888
emb256_g64_e64_mean,15,0.5983266666666667,0.023717789184692632,0.6019266666666667,0.024046575837815453,0.9949,0.007731937476652092,0.7497866666666667,0.018614198369856835,0.58472,0.02494085002561059
emb256_g64_e8_mean,15,0.61412,0.036790977154731834,0.61708,0.037154026891922695,0.9924733333333333,0.01059585273765616,0.7604466666666667,0.029475458718511344,0.6014333333333334,0.03938659428693738
emb256_g8_e128_mean,15,0.6212733333333333,0.032241110993500806,0.62582,0.03243576509260815,0.9966466666666667,0.006139668053691815,0.76842,0.024890279227039624,0.6017733333333334,0.03562953162489683
emb256_g8_e16_mean,15,0.59728,0.044727767022925954,0.6020466666666667,0.04487792754743006,0.9965,0.005505581583395943,0.7497533333333334,0.036250100820877866,0.5783533333333334,0.04608222258198098
emb256_g8_e256_mean,15,0.6199466666666666,0.038745614805635334,0.6241133333333333,0.03733814339761623,0.9966466666666667,0.005302407359824769,0.76698,0.02843207946769182,0.60328,0.042095659769488945
emb256_g8_e32_mean,15,0.59518,0.040771316948490705,0.5992666666666666,0.04087903176562818,0.99592,0.006459787701067061,0.7475533333333333,0.0315564316891562,0.5754066666666666,0.044532387358073716
emb256_g8_e64_mean,15,0.6127266666666666,0.029270205882107353,0.61752,0.0313203767538004,0.9974333333333333,0.005018774276463858,0.7623800000000001,0.024285539495169307,0.5898866666666667,0.029374597059039834
emb256_g8_e8_mean,15,0.5457066666666667,0.08140169765399478,0.5488466666666667,0.08163009657391486,0.9939733333333334,0.00853927620441205,0.7035,0.0731760889908719,0.5305466666666667,0.07624847414554478
emb32_g128_e128_mean,15,0.6011066666666667,0.04112733652358015,0.6046733333333333,0.04007117714885899,0.9953,0.007223869165086377,0.7516066666666666,0.03238850031077315,0.58486,0.0376749784339686
emb32_g128_e16_mean,15,0.6061933333333334,0.044599831304400143,0.6109666666666667,0.0438996040767481,0.9963533333333333,0.004230478977722545,0.75662,0.03494955957212786,0.59184,0.04707640901464646
emb32_g128_e256_mean,15,0.6161266666666667,0.03526423657124,0.61962,0.03390546100135323,0.9955866666666666,0.007969841965332866,0.76334,0.0259849901729001,0.59866,0.03388041575052718
emb32_g128_e32_mean,15,0.6001466666666667,0.03948055338059605,0.6040866666666667,0.03901664235877278,0.9952,0.007490660852021011,0.75122,0.031573886135765505,0.5836466666666666,0.043898793778851086
emb32_g128_e64_mean,15,0.59244,0.034729419393772915,0.59602,0.034102999449147756,0.9953133333333334,0.0072844125821281405,0.74506,0.027695430257406305,0.5771133333333334,0.03959602914194205
emb32_g128_e8_mean,15,0.5726,0.06281931004305694,0.5764933333333333,0.06168737387211499,0.9952333333333333,0.006482136625997261,0.7284,0.051494909595859215,0.5607266666666667,0.0642080264972119
emb32_g16_e128_mean,15,0.61698,0.03637002690599578,0.62222,0.035855268590742506,0.9982533333333333,0.004953623012743399,0.76608,0.027481167577607962,0.5975466666666667,0.03935025624651847
emb32_g16_e16_mean,15,0.60566,0.040807173739079605,0.6099733333333334,0.04129431760747074,0.99492,0.007707528786842119,0.7555266666666667,0.03196208617066403,0.5863733333333333,0.04187366145692926
emb32_g16_e256_mean,15,0.60912,0.0358453463805674,0.6139666666666667,0.034217240154774675,0.9982333333333333,0.0036574125644595725,0.7598266666666667,0.026545122410897317,0.5871066666666667,0.04403479900952793
emb32_g16_e32_mean,15,0.6079933333333334,0.03816439003399199,0.6121266666666667,0.03835167097619954,0.9949466666666666,0.006508112154036965,0.7572266666666667,0.02931266100575134,0.5914133333333333,0.03707255177672686
emb32_g16_e64_mean,15,0.61534,0.03808949611488334,0.61996,0.03741452735426249,0.9961133333333333,0.006868548054789487,0.7636466666666667,0.028600171494657333,0.59878,0.04175854403592155
emb32_g16_e8_mean,15,0.5976933333333333,0.0356906043391708,0.6020133333333333,0.036685300027330274,0.9949866666666667,0.007341746256527682,0.7496,0.029298976091324425,0.58122,0.035116036222785724
emb32_g256_e128_mean,15,0.5948133333333333,0.038068225720721584,0.5994066666666666,0.037900272646336844,0.9963266666666667,0.005994338598886063,0.7479066666666667,0.03156705938308537,0.5845,0.04439726503803068
emb32_g256_e16_mean,15,0.5943533333333333,0.046161035929615325,0.5978733333333334,0.045553037638507016,0.99408,0.008289511445193857,0.7458733333333334,0.03740604356568729,0.5818,0.04958225489023264
emb32_g256_e256_mean,15,0.6065933333333333,0.028325139431422463,0.6104,0.027654423567616496,0.9964066666666667,0.00672792333346274,0.75676,0.023188537808889235,0.59398,0.030936113893912764
emb32_g256_e32_mean,15,0.60698,0.03782174733441821,0.6111733333333333,0.03732895212387654,0.9953533333333333,0.007209405232716759,0.7567533333333333,0.029548141509520814,0.5941733333333333,0.038308829020897786
emb32_g256_e64_mean,15,0.60424,0.047014888219432296,0.6077866666666667,0.04641980591248073,0.9948,0.007537335641420553,0.7537,0.03728368084219766,0.5874733333333333,0.049294182019305084
emb32_g256_e8_mean,15,0.5946333333333333,0.04160945405393666,0.5991466666666667,0.0404974578861204,0.9960866666666667,0.00647620553219539,0.74754,0.03280863997703741,0.58136,0.041829616985371215
emb32_g32_e128_mean,15,0.6250666666666667,0.032978318996115065,0.6292333333333333,0.03339060318341646,0.99554,0.00766390426423952,0.7706666666666666,0.025816154042068502,0.60954,0.032314101300471625
emb32_g32_e16_mean,15,0.6022733333333333,0.040463678009978736,0.6068133333333333,0.03951780551069293,0.9965066666666667,0.005371414640306168,0.7536133333333334,0.03134318943262673,0.59038,0.04209642332957583
